y,x
+2.7100E-03,+495.6658E-03
+2.7200E-03,+498.4296E-03
+2.7300E-03,+491.6457E-03
+2.7400E-03,+497.6759E-03
+2.7500E-03,+493.1533E-03
+2.7600E-03,+493.6558E-03
+2.7700E-03,+490.3894E-03
+2.7800E-03,+497.6759E-03
+2.7900E-03,+487.8769E-03
+2.8000E-03,+493.6558E-03
+2.8100E-03,+490.3894E-03
+2.8200E-03,+491.1432E-03
+2.8300E-03,+498.4296E-03
+2.8400E-03,+490.3894E-03
+2.8500E-03,+498.4296E-03
+2.8600E-03,+490.3894E-03
+2.8700E-03,+490.3894E-03
+2.8800E-03,+495.1633E-03
+2.8900E-03,+497.1734E-03
+2.9000E-03,+490.3894E-03
+2.9100E-03,+493.1533E-03
+2.9200E-03,+493.6558E-03
+2.9300E-03,+497.1734E-03
+2.9400E-03,+499.1834E-03
+2.9500E-03,+498.4296E-03
+2.9600E-03,+493.6558E-03
+2.9700E-03,+498.4296E-03
+2.9800E-03,+498.4296E-03
+2.9900E-03,+498.4296E-03
+3.0000E-03,+490.3894E-03
+3.0100E-03,+498.4296E-03
+3.0200E-03,+491.1432E-03
+3.0300E-03,+495.6658E-03
+3.0400E-03,+490.3894E-03
+3.0500E-03,+498.4296E-03
+3.0600E-03,+490.3894E-03
+3.0700E-03,+495.6658E-03
+3.0800E-03,+501.6960E-03
+3.0900E-03,+497.1734E-03
+3.1000E-03,+483.8568E-03
+3.1100E-03,+493.1533E-03
+3.1200E-03,+498.4296E-03
+3.1300E-03,+498.4296E-03
+3.1400E-03,+497.6759E-03
+3.1500E-03,+498.4296E-03
+3.1600E-03,+493.6558E-03
+3.1700E-03,+498.4296E-03
+3.1800E-03,+491.1432E-03
+3.1900E-03,+487.8769E-03
+3.2000E-03,+498.4296E-03
+3.2100E-03,+491.6457E-03
+3.2200E-03,+497.6759E-03
+3.2300E-03,+495.6658E-03
+3.2400E-03,+495.1633E-03
+3.2500E-03,+498.4296E-03
+3.2600E-03,+491.1432E-03
+3.2700E-03,+493.1533E-03
+3.2800E-03,+498.4296E-03
+3.2900E-03,+498.4296E-03
+3.3000E-03,+497.6759E-03
+3.3100E-03,+493.1533E-03
+3.3200E-03,+498.4296E-03
+3.3300E-03,+491.6457E-03
+3.3400E-03,+498.4296E-03
+3.3500E-03,+498.4296E-03
+3.3600E-03,+493.6558E-03
+3.3700E-03,+490.3894E-03
+3.3800E-03,+498.4296E-03
+3.3900E-03,+498.4296E-03
+3.4000E-03,+498.4296E-03
+3.4100E-03,+498.4296E-03
+3.4200E-03,+497.6759E-03
+3.4300E-03,+493.1533E-03
+3.4400E-03,+495.1633E-03
+3.4500E-03,+498.4296E-03
+3.4600E-03,+491.1432E-03
+3.4700E-03,+490.3894E-03
+3.4800E-03,+498.4296E-03
+3.4900E-03,+490.3894E-03
+3.5000E-03,+498.4296E-03
+3.5100E-03,+498.4296E-03
+3.5200E-03,+493.6558E-03
+3.5300E-03,+497.1734E-03
+3.5400E-03,+498.4296E-03
+3.5500E-03,+498.4296E-03
+3.5600E-03,+498.4296E-03
+3.5700E-03,+497.1734E-03
+3.5800E-03,+497.6759E-03
+3.5900E-03,+498.4296E-03
+3.6000E-03,+498.4296E-03
+3.6100E-03,+505.2136E-03
+3.6200E-03,+489.6357E-03
+3.6300E-03,+493.1533E-03
+3.6400E-03,+498.4296E-03
+3.6500E-03,+491.6457E-03
+3.6600E-03,+498.4296E-03
+3.6700E-03,+493.1533E-03
+3.6800E-03,+498.4296E-03
+3.6900E-03,+497.1734E-03
+3.7000E-03,+491.1432E-03
+3.7100E-03,+490.3894E-03
+3.7200E-03,+490.3894E-03
+3.7300E-03,+497.1734E-03
+3.7400E-03,+498.4296E-03
+3.7500E-03,+493.1533E-03
+3.7600E-03,+493.6558E-03
+3.7700E-03,+491.6457E-03
+3.7800E-03,+491.1432E-03
+3.7900E-03,+493.1533E-03
+3.8000E-03,+493.6558E-03
+3.8100E-03,+498.4296E-03
+3.8200E-03,+491.1432E-03
+3.8300E-03,+498.4296E-03
+3.8400E-03,+498.4296E-03
+3.8500E-03,+490.3894E-03
+3.8600E-03,+497.6759E-03
+3.8700E-03,+490.3894E-03
+3.8800E-03,+495.1633E-03
+3.8900E-03,+491.6457E-03
+3.9000E-03,+490.3894E-03
+3.9100E-03,+493.1533E-03
+3.9200E-03,+493.6558E-03
+3.9300E-03,+498.4296E-03
+3.9400E-03,+498.4296E-03
+3.9500E-03,+498.4296E-03
+3.9600E-03,+490.3894E-03
+3.9700E-03,+497.1734E-03
+3.9800E-03,+491.1432E-03
+3.9900E-03,+498.4296E-03
+4.0000E-03,+490.3894E-03
+4.0100E-03,+490.3894E-03
+4.0200E-03,+491.1432E-03
+4.0300E-03,+498.4296E-03
+4.0400E-03,+495.1633E-03
+4.0500E-03,+497.1734E-03
+4.0600E-03,+490.3894E-03
+4.0700E-03,+498.4296E-03
+4.0800E-03,+503.2035E-03
+4.0900E-03,+497.1734E-03
+4.1000E-03,+491.1432E-03
+4.1100E-03,+498.4296E-03
+4.1200E-03,+501.6960E-03
+4.1300E-03,+491.6457E-03
+4.1400E-03,+490.3894E-03
+4.1500E-03,+498.4296E-03
+4.1600E-03,+493.6558E-03
+4.1700E-03,+498.4296E-03
+4.1800E-03,+491.1432E-03
+4.1900E-03,+498.4296E-03
+4.2000E-03,+490.3894E-03
+4.2100E-03,+498.4296E-03
+4.2200E-03,+498.4296E-03
+4.2300E-03,+493.1533E-03
+4.2400E-03,+495.1633E-03
+4.2500E-03,+497.1734E-03
+4.2600E-03,+491.1432E-03
+4.2700E-03,+498.4296E-03
+4.2800E-03,+490.3894E-03
+4.2900E-03,+491.6457E-03
+4.3000E-03,+497.6759E-03
+4.3100E-03,+495.6658E-03
+4.3200E-03,+493.6558E-03
+4.3300E-03,+498.4296E-03
+4.3400E-03,+491.1432E-03
+4.3500E-03,+490.3894E-03
+4.3600E-03,+498.4296E-03
+4.3700E-03,+490.3894E-03
+4.3800E-03,+491.1432E-03
+4.3900E-03,+498.4296E-03
+4.4000E-03,+498.4296E-03
+4.4100E-03,+498.4296E-03
+4.4200E-03,+498.4296E-03
+4.4300E-03,+495.9171E-03
+4.4400E-03,+493.6558E-03
+4.4500E-03,+497.1734E-03
+4.4600E-03,+490.3894E-03
+4.4700E-03,+498.4296E-03
+4.4800E-03,+498.4296E-03
+4.4900E-03,+491.6457E-03
+4.5000E-03,+491.1432E-03
+4.5100E-03,+498.4296E-03
+4.5200E-03,+498.4296E-03
+4.5300E-03,+498.4296E-03
+4.5400E-03,+498.4296E-03
+4.5500E-03,+495.6658E-03
+4.5600E-03,+490.3894E-03
+4.5700E-03,+497.1734E-03
+4.5800E-03,+505.7161E-03
+4.5900E-03,+490.3894E-03
+4.6000E-03,+498.4296E-03
+4.6100E-03,+498.4296E-03
+4.6200E-03,+498.4296E-03
+4.6300E-03,+490.3894E-03
+4.6400E-03,+498.4296E-03
+4.6500E-03,+498.4296E-03
+4.6600E-03,+490.3894E-03
+4.6700E-03,+501.1935E-03
+4.6800E-03,+477.5754E-03
+4.6900E-03,+458.2286E-03
+4.7000E-03,+434.1080E-03
+4.7100E-03,+412.7513E-03
+4.7200E-03,+398.6809E-03
+4.7300E-03,+371.0427E-03
+4.7400E-03,+360.9925E-03
+4.7500E-03,+342.9020E-03
+4.7600E-03,+326.3191E-03
+4.7700E-03,+305.4648E-03
+4.7800E-03,+288.6306E-03
+4.7900E-03,+268.0276E-03
+4.8000E-03,+257.2236E-03
+4.8100E-03,+239.8869E-03
+4.8200E-03,+217.0226E-03
+4.8300E-03,+208.9824E-03
+4.8400E-03,+192.9020E-03
+4.8500E-03,+184.8618E-03
+4.8600E-03,+160.7412E-03
+4.8700E-03,+152.7010E-03
+4.8800E-03,+136.6206E-03
+4.8900E-03,+127.3241E-03
+4.9000E-03,+112.5000E-03
+4.9100E-03,+91.1432E-03
+4.9200E-03,+91.6457E-03
+4.9300E-03,+72.2990E-03
+4.9400E-03,+56.2186E-03
+4.9500E-03,+48.1784E-03
+4.9600E-03,+36.8719E-03
+4.9700E-03,+24.0578E-03
+4.9800E-03,+16.0176E-03
+4.9900E-03,+2.7010E-03
+5.0000E-03,-8.1030E-03
+5.0100E-03,-22.9271E-03
+5.0200E-03,-24.1834E-03
+5.0300E-03,-29.4598E-03
+5.0400E-03,-48.3040E-03
+5.0500E-03,-55.0879E-03
+5.0600E-03,-57.0980E-03
+5.0700E-03,-72.4246E-03
+5.0800E-03,-83.7312E-03
+5.0900E-03,-96.5452E-03
+5.1000E-03,-96.5452E-03
+5.1100E-03,-109.8618E-03
+5.1200E-03,-111.1181E-03
+5.1300E-03,-120.6658E-03
+5.1400E-03,-128.7060E-03
+5.1500E-03,-131.4698E-03
+5.1600E-03,-143.2789E-03
+5.1700E-03,-160.8668E-03
+5.1800E-03,-160.8668E-03
+5.1900E-03,-166.1432E-03
+5.2000E-03,-173.6809E-03
+5.2100E-03,-176.9472E-03
+5.2200E-03,-184.9874E-03
+5.2300E-03,-193.0276E-03
+5.2400E-03,-196.2940E-03
+5.2500E-03,-207.8518E-03
+5.2600E-03,-209.1080E-03
+5.2700E-03,-222.4246E-03
+5.2800E-03,-221.9221E-03
+5.2900E-03,-225.1884E-03
+5.3000E-03,-233.2286E-03
+5.3100E-03,-241.2688E-03
+5.3200E-03,-241.2688E-03
+5.3300E-03,-249.3090E-03
+5.3400E-03,-249.3090E-03
+5.3500E-03,-257.3492E-03
+5.3600E-03,-262.1231E-03
+5.3700E-03,-265.3894E-03
+5.3800E-03,-273.4296E-03
+5.3900E-03,-278.7060E-03
+5.4000E-03,-281.4698E-03
+5.4100E-03,-288.2538E-03
+5.4200E-03,-296.7965E-03
+5.4300E-03,-297.5502E-03
+5.4400E-03,-302.3241E-03
+5.4500E-03,-305.5905E-03
+5.4600E-03,-305.5905E-03
+5.4700E-03,-313.6307E-03
+5.4800E-03,-313.6307E-03
+5.4900E-03,-314.8869E-03
+5.5000E-03,-321.6709E-03
+5.5100E-03,-329.7111E-03
+5.5200E-03,-329.7111E-03
+5.5300E-03,-329.7111E-03
+5.5400E-03,-337.7513E-03
+5.5500E-03,-337.7513E-03
+5.5600E-03,-345.7915E-03
+5.5700E-03,-345.7915E-03
+5.5800E-03,-345.7915E-03
+5.5900E-03,-353.8317E-03
+5.6000E-03,-353.8317E-03
+5.6100E-03,-347.0477E-03
+5.6200E-03,-354.5854E-03
+5.6300E-03,-359.3593E-03
